"id","flight_number","date","from_city","airport_out_code","to_city","airport_to_code","scheduled_time_of_departure","actual_time_of_departure","flight_time","landed_time","scheduled_time_of_arrival","aircraft_code","aircraft_model","date_of_load"
1177,"EK355","2025-01-08","Singapore ","SIN","Dubai ","DXB","21:00","21:30","7:03","00:33","01:00","A6-EUM","Airbus A380-842","2025-01-10 00:00:00"
1178,"EK354","2025-01-07","Dubai ","DXB","Singapore ","SIN","03:15","04:19","6:52","15:11","14:40","A6-EUM","Airbus A380-842","2025-01-10 00:00:00"
1179,"EK904","2025-01-07","Amman ","AMM","Dubai ","DXB","18:30","18:48","2:27","22:15","22:25","A6-EUM","Airbus A380-842","2025-01-10 00:00:00"
1180,"EK903","2025-01-07","Dubai ","DXB","Amman ","AMM","14:15","14:25","2:50","16:15","16:45","A6-EUM","Airbus A380-842","2025-01-10 00:00:00"
1181,"EK139","2025-01-10","Dubai ","DXB","Prague ","PRG","08:40","09:28","5:58","12:26","12:30","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1182,"EK140","2025-01-09","Prague ","PRG","Dubai ","DXB","14:45","14:47","5:24","23:12","23:40","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1183,"EK139","2025-01-09","Dubai ","DXB","Prague ","PRG","08:40","09:05","5:54","11:59","12:30","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1184,"EK375","2025-01-08","Bangkok ","BKK","Dubai ","DXB","09:30","09:56","6:32","13:28","13:15","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1185,"EK374","2025-01-07","Dubai ","DXB","Bangkok ","BKK","22:35","23:29","5:17","07:46","07:35","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1186,"EK12","2025-01-07","London ","LGW","Dubai ","DXB","09:40","10:23","6:19","20:43","20:30","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1187,"EK11","2025-01-06","Dubai ","DXB","London ","LGW","02:50","03:15","7:03","06:18","06:40","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1188,"EK40","2025-01-06","Birmingham ","BHX","Dubai ","DXB","13:40","14:05","6:26","00:30","00:45","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1189,"EK39","2025-01-06","Dubai ","DXB","Birmingham ","BHX","07:40","08:18","7:19","11:37","11:40","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1190,"EK924","2025-01-05","Cairo ","CAI","Dubai ","DXB","19:30","20:35","2:41","01:16","00:40","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1191,"EK923","2025-01-05","Dubai ","DXB","Cairo ","CAI","15:00","16:40","3:39","18:19","17:15","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1192,"EK369","2025-01-04","Denpasar ","DPS","Dubai ","DXB","19:50","20:05","9:19","01:24","01:10","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1193,"EK368","2025-01-03","Dubai ","DXB","Denpasar ","DPS","03:25","04:04","8:40","16:44","16:30","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1194,"EK40","2025-01-03","Birmingham ","BHX","Dubai ","DXB","13:40","14:04","6:17","00:21","00:45","A6-EUN","Airbus A380-842","2025-01-10 00:00:00"
1195,"EK368","2025-01-09","Dubai ","DXB","Denpasar ","DPS","03:25","03:53","8:41","16:34","16:30","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1196,"EK40","2025-01-09","Birmingham ","BHX","Dubai ","DXB","13:40","14:19","6:26","00:45","00:45","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1197,"EK39","2025-01-09","Dubai ","DXB","Birmingham ","BHX","07:40","08:33","7:05","11:38","11:40","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1198,"EK152","2025-01-08","Copenhagen ","CPH","Dubai ","DXB","14:45","15:14","5:51","00:05","00:10","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1199,"EK151","2025-01-08","Dubai ","DXB","Copenhagen ","CPH","08:30","08:58","6:19","12:17","12:30","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1200,"EK926","2025-01-07","Cairo ","CAI","Dubai ","DXB","00:50","01:02","2:53","05:55","06:10","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1201,"EK925","2025-01-07","Dubai ","DXB","Cairo ","CAI","20:40","21:15","3:27","22:42","22:55","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1202,"EK806","2025-01-07","Jeddah ","JED","Dubai ","DXB","11:10","12:45","2:08","15:53","15:00","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1203,"EK805","2025-01-07","Dubai ","DXB","Jeddah ","JED","07:05","08:27","2:41","10:07","09:20","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1204,"EK704","2025-01-06","Port Louis ","MRU","Dubai ","DXB","22:30","22:53","6:12","05:05","05:05","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1205,"EK703","2025-01-06","Dubai ","DXB","Port Louis ","MRU","10:00","11:17","6:08","17:25","16:40","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1206,"EK802","2025-01-06","Jeddah ","JED","Dubai ","DXB","04:10","04:48","2:07","07:54","08:05","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1207,"EK801","2025-01-05","Dubai ","DXB","Jeddah ","JED","00:15","00:56","2:44","02:40","02:25","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1208,"EK375","2025-01-05","Bangkok ","BKK","Dubai ","DXB","09:30","10:03","6:29","13:32","13:15","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1209,"EK374","2025-01-04","Dubai ","DXB","Bangkok ","BKK","22:35","23:04","5:18","07:22","07:35","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1210,"EK22","2025-01-04","Manchester ","MAN","Dubai ","DXB","08:50","09:42","6:07","19:49","19:50","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1211,"EK21","2025-01-03","Dubai ","DXB","Manchester ","MAN","02:40","03:14","7:36","06:50","06:45","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1212,"EK152","2025-01-03","Copenhagen ","CPH","Dubai ","DXB","14:45","15:46","5:32","00:18","00:10","A6-EUO","Airbus A380-842","2025-01-10 00:00:00"
1213,"EK375","2025-01-10","Bangkok ","BKK","Dubai ","DXB","09:30","09:51","6:22","13:13","13:15","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1214,"EK374","2025-01-09","Dubai ","DXB","Bangkok ","BKK","22:35","23:07","5:17","07:24","07:35","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1215,"EK12","2025-01-09","London ","LGW","Dubai ","DXB","09:40","10:22","6:25","20:47","20:30","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1216,"EK11","2025-01-08","Dubai ","DXB","London ","LGW","02:50","03:31","6:59","06:31","06:40","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1217,"EK140","2025-01-08","Prague ","PRG","Dubai ","DXB","14:45","15:19","5:23","23:42","23:40","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1218,"EK139","2025-01-08","Dubai ","DXB","Prague ","PRG","08:40","09:18","5:56","12:14","12:30","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1219,"EK58","2025-01-07","Dusseldorf ","DUS","Dubai ","DXB","20:45","21:19","5:50","06:08","06:15","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1220,"EK57","2025-01-07","Dubai ","DXB","Dusseldorf ","DUS","14:40","15:21","6:23","18:44","18:55","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1221,"EK10","2025-01-06","London ","LGW","Dubai ","DXB","20:25","21:00","6:18","07:18","07:20","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1222,"EK9","2025-01-06","Dubai ","DXB","London ","LGW","14:25","14:59","7:11","18:11","18:25","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1223,"EK10","2025-01-05","London ","LGW","Dubai ","DXB","20:25","21:26","6:06","07:32","07:20","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1224,"EK9","2025-01-05","Dubai ","DXB","London ","LGW","14:25","15:05","7:33","18:37","18:25","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1225,"EK10","2025-01-04","London ","LGW","Dubai ","DXB","20:25","00:33","5:51","10:24","07:20","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1226,"EK9","2025-01-04","Dubai ","DXB","London ","LGW","14:25","15:12","7:45","18:57","18:25","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1227,"EK52","2025-01-03","Munich ","MUC","Dubai ","DXB","21:25","22:23","5:06","06:29","06:35","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1228,"EK51","2025-01-03","Dubai ","DXB","Munich ","MUC","15:50","16:22","6:16","19:37","19:30","A6-EUP","Airbus A380-842","2025-01-10 00:00:00"
1229,"EK10","2025-01-09","London ","LGW","Dubai ","DXB","20:25","21:09","6:04","07:12","07:20","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1230,"EK9","2025-01-09","Dubai ","DXB","London ","LGW","14:25","14:52","7:16","18:08","18:25","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1231,"EK10","2025-01-08","London ","LGW","Dubai ","DXB","20:25","23:05","6:06","09:11","07:20","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1232,"EK9","2025-01-08","Dubai ","DXB","London ","LGW","14:25","15:42","7:13","18:55","18:25","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1233,"EK377","2025-01-07","Bangkok ","BKK","Dubai ","DXB","02:00","02:28","6:28","05:56","06:00","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1234,"EK376","2025-01-06","Dubai ","DXB","Bangkok ","BKK","03:50","05:03","5:20","13:22","12:55","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1236,"EK22","2025-01-05","Manchester ","MAN","Dubai ","DXB","08:50","14:53","6:50","01:43","19:50","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1237,"EK2680","2025-01-04","Dubai ","DXB","Dubai ","DXB","13:44","13:44","2:10","15:54","15:54","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1238,"EK926","2025-01-03","Cairo ","CAI","Dubai ","DXB","00:50","01:13","2:42","05:55","06:10","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1239,"EK925","2025-01-03","Dubai ","DXB","Cairo ","CAI","20:40","21:13","3:44","22:58","22:55","A6-EUQ","Airbus A380-842","2025-01-10 00:00:00"
1240,"EK261","2025-01-09","Dubai ","DXB","Sao Paulo ","GRU","09:05","09:33","14:50","17:23","17:35","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1241,"EK319","2025-01-08","Tokyo ","NRT","Dubai ","DXB","22:20","22:32","11:27","05:00","05:30","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1242,"EK318","2025-01-07","Dubai ","DXB","Tokyo ","NRT","02:55","03:21","8:39","17:00","17:20","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1243,"EK8","2025-01-07","London ","LHR","Dubai ","DXB","09:10","10:17","6:24","20:41","20:00","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1244,"EK7","2025-01-06","Dubai ","DXB","London ","LHR","03:10","03:36","7:06","06:42","07:10","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1245,"EK262","2025-01-06","Sao Paulo ","GRU","Dubai ","DXB","01:30","01:40","13:26","22:06","22:35","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1246,"EK261","2025-01-05","Dubai ","DXB","Sao Paulo ","GRU","09:05","10:09","14:52","18:01","17:35","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1247,"EK407","2025-01-04","Melbourne ","MEL","Dubai ","DXB","22:30","22:52","13:58","05:50","05:40","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1248,"EK406","2025-01-03","Dubai ","DXB","Melbourne ","MEL","10:00","10:41","12:47","06:28","06:25","A6-EUR","Airbus A380-842","2025-01-10 00:00:00"
1249,"EK569","2025-01-09","Bengaluru ","BLR","Dubai ","DXB","04:30","04:49","3:38","06:57","07:10","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1250,"EK568","2025-01-09","Dubai ","DXB","Bengaluru ","BLR","21:25","21:57","3:04","02:31","02:30","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1251,"EK2566","2025-01-07","Istanbul ","IST","Dubai ","DXB","21:10","22:04","3:40","02:44","02:15","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1252,"EK123","2025-01-06","Dubai ","DXB","Istanbul ","IST","10:15","10:38","4:18","13:56","14:25","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1253,"EK4","2025-01-05","London ","LHR","Dubai ","DXB","20:20","21:11","6:06","07:17","07:20","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1254,"EK3","2025-01-05","Dubai ","DXB","London ","LHR","14:30","15:02","7:29","18:31","18:20","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1255,"EK6","2025-01-04","London ","LHR","Dubai ","DXB","22:00","23:54","5:48","09:42","08:45","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1256,"EK5","2025-01-04","Dubai ","DXB","London ","LHR","16:05","16:46","7:51","20:37","20:00","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1257,"EK415","2025-01-03","Sydney ","SYD","Dubai ","DXB","06:00","06:44","13:37","13:20","13:20","A6-EUS","Airbus A380-842","2025-01-10 00:00:00"
1258,"EK408","2025-01-09","Dubai ","DXB","Melbourne ","MEL","02:55","03:40","12:40","23:20","23:20","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1259,"EK262","2025-01-09","Sao Paulo ","GRU","Dubai ","DXB","01:30","02:15","13:29","22:44","22:35","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1260,"EK261","2025-01-08","Dubai ","DXB","Sao Paulo ","GRU","09:05","10:56","14:50","18:46","17:35","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1261,"EK48","2025-01-07","Frankfurt ","FRA","Dubai ","DXB","21:10","22:03","5:38","06:41","06:40","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1262,"EK47","2025-01-07","Dubai ","DXB","Frankfurt ","FRA","15:15","15:51","6:19","19:09","19:20","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1263,"EK415","2025-01-06","Sydney ","SYD","Dubai ","DXB","06:00","06:38","13:53","13:30","13:20","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1265,"EK212","2025-01-05","Houston ","IAH","Dubai ","DXB","19:10","19:31","14:14","19:45","19:45","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1266,"EK211","2025-01-04","Dubai ","DXB","Houston ","IAH","09:45","10:19","16:17","16:36","16:20","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1267,"EK569","2025-01-03","Bengaluru ","BLR","Dubai ","DXB","04:30","05:16","3:32","07:17","07:10","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1268,"EK568","2025-01-03","Dubai ","DXB","Bengaluru ","BLR","21:25","22:00","3:09","02:38","02:30","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1269,"EK226","2025-01-02","San Francisco ","SFO","Dubai ","DXB","15:40","16:04","14:59","19:03","19:25","A6-EUT","Airbus A380-842","2025-01-10 00:00:00"
1270,"EK448","2025-01-09","Dubai ","DXB","Auckland ","AKL","10:05","11:44","15:24","12:07","11:15","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1271,"EK6","2025-01-08","London ","LHR","Dubai ","DXB","22:00","22:57","6:13","09:10","08:45","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1272,"EK5","2025-01-08","Dubai ","DXB","London ","LHR","16:05","17:00","7:06","20:07","20:00","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1273,"EK415","2025-01-07","Sydney ","SYD","Dubai ","DXB","06:00","06:22","13:54","13:16","13:20","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1264,"EK414","2025-01-06","Adelaide ","ADL","Sydney ","SYD","22:05","02:36","12:57","22:33","00:03","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1275,"EK449","2025-01-05","Auckland ","AKL","Dubai ","DXB","21:05","21:35","16:45","05:20","05:15","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1276,"EK448","2025-01-04","Dubai ","DXB","Auckland ","AKL","10:05","10:53","15:43","11:36","11:15","A6-EUU","Airbus A380-842","2025-01-10 00:00:00"
1277,"EK6","2025-01-09","London ","LHR","Dubai ","DXB","22:00","22:18","6:16","08:34","08:45","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1278,"EK5","2025-01-09","Dubai ","DXB","London ","LHR","16:05","16:32","7:16","19:48","20:00","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1279,"EK4","2025-01-08","London ","LHR","Dubai ","DXB","20:20","20:58","6:12","07:09","07:20","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1280,"EK3","2025-01-08","Dubai ","DXB","London ","LHR","14:30","15:07","7:12","18:19","18:20","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1281,"EK569","2025-01-07","Bengaluru ","BLR","Dubai ","DXB","04:30","05:09","3:40","07:19","07:10","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1282,"EK568","2025-01-07","Dubai ","DXB","Bengaluru ","BLR","21:25","21:59","3:10","02:40","02:30","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1283,"EK212","2025-01-07","Houston ","IAH","Dubai ","DXB","19:10","19:29","14:07","19:35","19:45","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1284,"EK211","2025-01-06","Dubai ","DXB","Houston ","IAH","09:45","10:19","15:54","16:14","16:20","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1285,"EK407","2025-01-05","Perth ","PER","Dubai ","DXB","01:00","23:21","3:36","23:57","07:18","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1287,"EK406","2025-01-04","Dubai ","DXB","Melbourne ","MEL","10:00","10:25","13:01","06:25","06:25","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1288,"EK317","2025-01-03","Osaka ","KIX","Dubai ","DXB","23:30","23:39","10:49","05:29","05:45","A6-EUV","Airbus A380-842","2025-01-10 00:00:00"
1609,"EK9742","2025-01-06","Dubai ","DWC","Dakar ","DSS","00:50","01:05","10:19","07:23","07:10","A6-EFO","Boeing 777-F1H","2025-01-10 00:00:00"
1289,"EK413","2025-01-10","Christchurch ","CHC","Sydney ","SYD","18:20","18:40","2:54","19:34","19:40","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1290,"EK412","2025-01-09","Sydney ","SYD","Christchurch ","CHC","08:45","11:21","13:31","07:53","14:00","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1292,"EK407","2025-01-08","Melbourne ","MEL","Dubai ","DXB","22:30","22:44","13:37","05:21","05:40","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1293,"EK406","2025-01-07","Dubai ","DXB","Melbourne ","MEL","10:00","10:40","12:31","06:12","06:25","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1294,"EK407","2025-01-06","Melbourne ","MEL","Dubai ","DXB","22:30","22:54","13:39","05:33","05:40","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1295,"EK406","2025-01-05","Dubai ","DXB","Melbourne ","MEL","10:00","11:14","12:43","06:58","06:25","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1296,"EK449","2025-01-04","Auckland ","AKL","Dubai ","DXB","21:05","21:39","16:48","05:27","05:15","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1297,"EK448","2025-01-03","Dubai ","DXB","Auckland ","AKL","10:05","10:50","15:27","11:17","11:15","A6-EUW","Airbus A380-842","2025-01-10 00:00:00"
1298,"EK20","2025-01-09","Manchester ","MAN","Dubai ","DXB","20:40","23:45","6:15","10:00","07:55","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1299,"EK19","2025-01-09","Dubai ","DXB","Manchester ","MAN","14:30","15:39","7:28","19:07","18:40","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1300,"EK12","2025-01-08","London ","LGW","Dubai ","DXB","09:40","10:41","6:12","20:52","20:30","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1301,"EK11","2025-01-07","Dubai ","DXB","London ","LGW","02:50","03:27","7:05","06:32","06:40","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1302,"EK140","2025-01-07","Prague ","PRG","Dubai ","DXB","14:45","15:23","5:16","23:39","23:40","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1303,"EK139","2025-01-07","Dubai ","DXB","Prague ","PRG","08:40","09:37","5:40","12:17","12:30","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1304,"EK926","2025-01-06","Cairo ","CAI","Dubai ","DXB","00:50","01:05","2:53","05:58","06:10","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1305,"EK925","2025-01-06","Dubai ","DXB","Cairo ","CAI","20:40","21:13","3:32","22:45","22:55","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1306,"EK928","2025-01-06","Cairo ","CAI","Dubai ","DXB","12:30","12:34","2:51","17:24","17:45","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1307,"EK58","2025-01-05","Dusseldorf ","DUS","Dubai ","DXB","20:45","21:45","5:44","06:29","06:15","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1308,"EK57","2025-01-05","Dubai ","DXB","Dusseldorf ","DUS","14:40","15:27","6:53","19:21","18:55","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1309,"EK802","2025-01-05","Jeddah ","JED","Dubai ","DXB","04:10","05:05","2:07","08:13","08:05","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1310,"EK801","2025-01-04","Dubai ","DXB","Jeddah ","JED","00:15","00:47","2:39","02:26","02:25","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1311,"EK375","2025-01-04","Bangkok ","BKK","Dubai ","DXB","09:30","09:45","6:13","12:58","13:15","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1312,"EK374","2025-01-03","Dubai ","DXB","Bangkok ","BKK","22:35","23:09","5:28","07:38","07:35","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1313,"EK12","2025-01-03","London ","LGW","Dubai ","DXB","09:40","10:46","6:09","20:55","20:30","A6-EUX","Airbus A380-842","2025-01-10 00:00:00"
1314,"EK151","2025-01-10","Dubai ","DXB","Copenhagen ","CPH","08:30","09:30","6:26","12:56","12:30","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1315,"EK926","2025-01-09","Cairo ","CAI","Dubai ","DXB","00:50","01:08","2:50","05:58","06:10","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1316,"EK925","2025-01-09","Dubai ","DXB","Cairo ","CAI","20:40","21:14","3:45","23:00","22:55","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1317,"EK375","2025-01-09","Bangkok ","BKK","Dubai ","DXB","09:30","12:18","6:19","15:36","13:15","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1318,"EK374","2025-01-08","Dubai ","DXB","Bangkok ","BKK","22:35","01:21","5:19","09:40","07:35","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1319,"EK804","2025-01-07","Jeddah ","JED","Dubai ","DXB","20:20","01:35","2:11","04:46","00:30","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1320,"EK803","2025-01-07","Dubai ","DXB","Jeddah ","JED","15:45","16:10","2:45","17:55","18:00","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1321,"EK802","2025-01-07","Jeddah ","JED","Dubai ","DXB","04:10","04:42","2:02","07:44","08:05","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1322,"EK801","2025-01-06","Dubai ","DXB","Jeddah ","JED","00:15","00:38","2:43","02:21","02:25","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1323,"EK904","2025-01-06","Amman ","AMM","Dubai ","DXB","18:30","18:51","2:38","22:28","22:25","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1324,"EK903","2025-01-06","Dubai ","DXB","Amman ","AMM","14:15","14:36","2:52","16:28","16:45","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1325,"EK377","2025-01-05","Bangkok ","BKK","Dubai ","DXB","02:00","02:19","6:22","05:41","06:00","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1326,"EK376","2025-01-04","Dubai ","DXB","Bangkok ","BKK","03:50","04:28","5:43","13:11","12:55","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1327,"EK152","2025-01-04","Copenhagen ","CPH","Dubai ","DXB","14:45","15:48","5:40","00:28","00:10","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1328,"EK151","2025-01-04","Dubai ","DXB","Copenhagen ","CPH","08:30","09:08","6:41","12:50","12:30","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1329,"EK377","2025-01-03","Bangkok ","BKK","Dubai ","DXB","02:00","02:23","6:26","05:49","06:00","A6-EUY","Airbus A380-842","2025-01-10 00:00:00"
1330,"EK21","2025-01-09","Dubai ","DXB","Manchester ","MAN","02:40","03:31","7:49","07:20","06:45","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1331,"EK21","2025-01-08","Dubai ","DXB","Manchester ","MAN","02:40","03:15","7:24","06:39","06:45","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1332,"EK22","2025-01-08","Manchester ","MAN","Dubai ","DXB","08:50","10:26","6:34","20:59","19:50","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1333,"EK21","2025-01-07","Dubai ","DXB","Manchester ","MAN","02:40","03:23","7:27","06:51","06:45","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1334,"EK152","2025-01-07","Copenhagen ","CPH","Dubai ","DXB","14:45","15:11","6:04","00:15","00:10","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1335,"EK151","2025-01-07","Dubai ","DXB","Copenhagen ","CPH","08:30","09:00","6:18","12:17","12:30","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1336,"EK22","2025-01-06","Manchester ","MAN","Dubai ","DXB","08:50","11:41","6:46","22:27","19:50","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1337,"EK21","2025-01-05","Dubai ","DXB","Manchester ","MAN","02:40","03:10","8:23","07:33","06:45","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1338,"EK806","2025-01-05","Jeddah ","JED","Dubai ","DXB","11:10","12:42","2:13","15:55","15:00","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1339,"EK805","2025-01-05","Dubai ","DXB","Jeddah ","JED","07:05","08:57","2:29","10:26","09:20","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1340,"EK704","2025-01-04","Port Louis ","MRU","Dubai ","DXB","22:30","23:20","6:33","05:53","05:05","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1341,"EK703","2025-01-04","Dubai ","DXB","Port Louis ","MRU","10:00","10:48","6:07","16:55","16:40","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
1342,"EK10","2025-01-03","London ","LGW","Dubai ","DXB","20:25","21:58","6:03","08:01","07:20","A6-EUZ","Airbus A380-842","2025-01-10 00:00:00"
